#YYYY MM DD HH MM P(mm) PET(mm)
2009  5 13  0  0 0.00000 0.01873
2009  5 13  1  0 0.00000 0.00152
2009  5 13  2  0 0.00000 0.00000
2009  5 13  3  0 0.00000 0.00000
2009  5 13  4  0 0.00000 0.00000
2009  5 13  5  0 0.00000 0.00000
2009  5 13  6  0 0.00000 0.00000
2009  5 13  7  0 0.00000 0.00000
2009  5 13  8  0 0.05660 0.00000
2009  5 13  9  0 0.00000 0.00000
2009  5 13 10  0 0.00000 0.00000
2009  5 13 11  0 0.00000 0.00008
2009  5 13 12  0 0.00000 0.01146
2009  5 13 13  0 0.00000 0.06645
2009  5 13 14  0 0.00000 0.17394
2009  5 13 15  0 0.00000 0.27872
2009  5 13 16  0 1.86792 0.31593
2009  5 13 17  0 0.47170 0.19032
2009  5 13 18  0 0.00000 0.12526
2009  5 13 19  0 5.49056 0.11250
2009  5 13 20  0 0.00000 0.04818
2009  5 13 21  0 0.00000 0.04270
2009  5 13 22  0 0.00000 0.08316
2009  5 13 23  0 0.00000 0.05561
2009  5 14  0  0 0.00000 0.01380
2009  5 14  1  0 0.00000 0.00150
2009  5 14  2  0 0.00000 0.00000
2009  5 14  3  0 0.00000 0.00000
2009  5 14  4  0 0.00000 0.00000
2009  5 14  5  0 0.00000 0.00000
2009  5 14  6  0 0.05660 0.00000
2009  5 14  7  0 0.00000 0.00000
2009  5 14  8  0 0.00000 0.00000
2009  5 14  9  0 0.00000 0.00000
2009  5 14 10  0 0.00000 0.00000
2009  5 14 11  0 0.00000 0.00004
2009  5 14 12  0 0.00000 0.00452
2009  5 14 13  0 0.00000 0.01852
2009  5 14 14  0 0.00000 0.05902
2009  5 14 15  0 0.00000 0.22812
2009  5 14 16  0 0.00000 0.31630
2009  5 14 17  0 0.00000 0.29377
2009  5 14 18  0 0.00000 0.25602
2009  5 14 19  0 0.18868 0.18288
2009  5 14 20  0 0.05660 0.14729
2009  5 14 21  0 0.15094 0.13001
2009  5 14 22  0 0.05660 0.08204
2009  5 14 23  0 0.00000 0.03988
2009  5 15  0  0 0.00000 0.01184
2009  5 15  1  0 0.00000 0.00076
2009  5 15  2  0 0.00000 0.00000
2009  5 15  3  0 0.00000 0.00000
2009  5 15  4  0 0.00000 0.00000
2009  5 15  5  0 0.00000 0.00000
2009  5 15  6  0 0.00000 0.00000
2009  5 15  7  0 0.00000 0.00000
2009  5 15  8  0 0.00000 0.00000
2009  5 15  9  0 0.00000 0.00000
2009  5 15 10  0 0.00000 0.00000
2009  5 15 11  0 0.11320 0.00007
2009  5 15 12  0 0.05660 0.00896
2009  5 15 13  0 0.00000 0.03838
2009  5 15 14  0 0.00000 0.10842
2009  5 15 15  0 0.00000 0.18096
2009  5 15 16  0 0.00000 0.23772
2009  5 15 17  0 0.00000 0.33858
2009  5 15 18  0 0.67924 0.20223
2009  5 15 19  0 10.24529 0.11757
2009  5 15 20  0 0.00000 0.12081
2009  5 15 21  0 0.00000 0.15431
2009  5 15 22  0 0.00000 0.14546
2009  5 15 23  0 0.00000 0.09027
2009  5 16  0  0 0.00000 0.02752
2009  5 16  1  0 0.30188 0.00094
2009  5 16  2  0 0.37736 0.00000
2009  5 16  3  0 0.00000 0.00000
2009  5 16  4  0 0.00000 0.00000
2009  5 16  5  0 0.00000 0.00000
2009  5 16  6  0 0.05660 0.00000
2009  5 16  7  0 0.00000 0.00000
2009  5 16  8  0 0.00000 0.00000
